sentence	aspect	polarity
Speakers doesn't sound that great.	multimedia devices quality	negative
Love the speed, especially!	laptop operation performance	positive
So glad I decided to upgrade!	laptop general	positive
I've owned this labtop for less then two months, already the mouse button has broke.	mouse quality	negative
Still under warrenty so called Toshiba, no help at all.	support quality	negative
I'm stuck w/ a broken computer.	laptop quality	negative
Will not buy another Toshiba, this is my second, not happy w/ either.	company general	negative
Will not buy another Toshiba, this is my second, not happy w/ either.	laptop general	negative
I love its solid build, light wt and excellent battery life (for now).	battery operation performance	positive
I love its solid build, light wt and excellent battery life (for now).	laptop design features	positive
I love its solid build, light wt and excellent battery life (for now).	laptop quality	positive
Excellent LED monitor and well equipped.	display design features	positive
Excellent LED monitor and well equipped.	laptop design features	positive
I love the Apple products.	company general	positive
The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer.	laptop general	positive
It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.	keyboard design features	positive
It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.	keyboard usability	positive
It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.	laptop design features	positive
It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.	laptop usability	positive
Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;	laptop usability	positive
both upgrades were quickly accomplished after purchasing the necessary Product Key.	laptop usability	positive
Other installed features, such as certain printer software, are also most attractive.	laptop design features	positive
Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.	laptop quality	negative
Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.	support quality	negative
